CustomerID,frequency,monetary,total_units,unique_products,country,recency,tenure,avg_order_value,is_repeat,avg_days_between_orders,R,F,M,RFM_score,segment,cluster,cluster_name
12364,4,1208.1,1499,69,Belgium,7,112,302.025,True,34.333333333333336,5,4,4,13,Champions,3,Active Mid-Value
12365,1,320.69,173,21,Cyprus,291,291,320.69,False,,1,1,2,4,Lost,0,Dormant Low-Value
12367,1,150.9,172,10,Denmark,4,4,150.9,False,,5,1,1,7,New / Promising,3,Active Mid-Value
12370,4,3421.94,2349,142,Cyprus,51,360,855.485,True,102.66666666666667,3,4,5,12,Loyal,1,Lapsing Mid-Value
12371,1,1527.96,582,62,Switzerland,59,59,1527.96,False,,3,1,4,8,Needs Attention,1,Lapsing Mid-Value
12372,3,1196.04,788,33,Denmark,71,296,398.68,True,112.0,3,3,4,10,Loyal,1,Lapsing Mid-Value
12373,1,324.6,196,13,Austria,311,311,324.6,False,,1,1,2,4,Lost,0,Dormant Low-Value
12374,1,622.9300000000001,339,32,Austria,25,25,622.9300000000001,False,,4,1,3,8,New / Promising,3,Active Mid-Value
12375,2,377.5,176,13,Finland,10,98,188.75,True,87.0,5,2,2,9,New / Promising,3,Active Mid-Value
12377,2,1548.1200000000001,942,71,Switzerland,315,354,774.0600000000001,True,39.0,1,2,4,7,Lost,1,Lapsing Mid-Value
12378,1,4008.62,2529,219,Switzerland,129,129,4008.62,False,,2,1,5,8,Lost,1,Lapsing Mid-Value
12379,2,777.24,402,38,Belgium,81,170,388.62,True,88.0,2,2,3,7,Lost,1,Lapsing Mid-Value
12380,4,2427.81,1110,76,Belgium,21,185,606.9525,True,54.0,4,4,5,13,Champions,1,Lapsing Mid-Value
12381,3,1474.81,797,69,Norway,4,119,491.6033333333333,True,57.0,5,3,4,12,Loyal,3,Active Mid-Value
12383,5,1628.56,1518,83,Belgium,184,352,325.712,True,41.25,1,4,4,9,At Risk,1,Lapsing Mid-Value
12384,2,425.27000000000004,122,25,Switzerland,28,121,212.63500000000002,True,92.0,4,2,2,8,New / Promising,3,Active Mid-Value
12386,2,401.9,354,10,Australia,337,366,200.95,True,29.0,1,2,2,5,Lost,0,Dormant Low-Value
12388,6,2780.6600000000003,1462,57,Australia,15,326,463.4433333333334,True,61.8,4,5,5,14,Champions,2,High-Value Loyal
12390,1,504.84000000000003,350,31,Belgium,79,79,504.84000000000003,False,,2,1,3,6,Lost,0,Dormant Low-Value
12391,1,439.66,293,92,Cyprus,21,21,439.66,False,,4,1,2,7,New / Promising,3,Active Mid-Value
12393,4,1582.6000000000001,816,47,Australia,72,332,395.65000000000003,True,86.33333333333333,2,4,4,10,At Risk,1,Lapsing Mid-Value
12394,2,1080.48,808,25,Belgium,63,217,540.24,True,153.0,3,2,4,9,Needs Attention,1,Lapsing Mid-Value
12395,12,2682.63,2097,90,Belgium,19,371,223.5525,True,31.454545454545453,4,5,5,14,Champions,2,High-Value Loyal
12397,2,2214.9,1250,109,Belgium,35,135,1107.45,True,99.0,3,2,5,10,Needs Attention,1,Lapsing Mid-Value
12398,1,1435.66,1389,84,Switzerland,45,45,1435.66,False,,3,1,4,8,Needs Attention,1,Lapsing Mid-Value
12399,4,1033.65,1173,46,Belgium,119,261,258.4125,True,47.333333333333336,2,4,4,10,At Risk,1,Lapsing Mid-Value
12401,1,69.3,10,4,Belgium,303,303,69.3,False,,1,1,1,3,Lost,0,Dormant Low-Value
12402,1,195.6,92,10,Belgium,323,323,195.6,False,,1,1,1,3,Lost,0,Dormant Low-Value
12403,1,391.7,94,4,Denmark,49,49,391.7,False,,3,1,2,6,Needs Attention,0,Dormant Low-Value
12405,1,1390.39,849,53,Finland,148,148,1390.39,False,,2,1,4,7,Lost,0,Dormant Low-Value
12406,2,3415.3,1818,92,Denmark,22,183,1707.65,True,161.0,4,2,5,11,New / Promising,1,Lapsing Mid-Value
12407,5,1507.12,1403,56,Belgium,49,264,301.424,True,53.0,3,4,4,11,Loyal,1,Lapsing Mid-Value
12408,5,2618.55,1391,80,Belgium,32,260,523.71,True,56.5,4,4,5,13,Champions,1,Lapsing Mid-Value
12409,3,11072.67,5551,91,Switzerland,78,182,3690.89,True,51.5,2,3,5,10,Hibernating,1,Lapsing Mid-Value
12410,2,533.33,207,25,Switzerland,308,308,266.665,True,0.0,1,2,3,6,Lost,0,Dormant Low-Value
12412,3,1142.88,824,42,Denmark,74,169,380.96000000000004,True,46.5,2,3,4,9,Hibernating,1,Lapsing Mid-Value
12413,3,686.1,282,28,France,66,337,228.70000000000002,True,134.5,3,3,3,9,Loyal,1,Lapsing Mid-Value
12414,3,442.41,297,15,Austria,217,310,147.47,True,46.0,1,3,2,6,Hibernating,0,Dormant Low-Value
12415,20,124564.53,77373,443,Australia,24,337,6228.2265,True,15.947368421052632,4,5,5,14,Champions,2,High-Value Loyal
12417,9,3226.1,1527,157,Belgium,3,357,358.4555555555555,True,43.75,5,5,5,15,Champions,2,High-Value Loyal
12418,1,668.58,407,34,Switzerland,112,112,668.58,False,,2,1,3,6,Lost,0,Dormant Low-Value
12420,1,600.39,345,29,Cyprus,63,63,600.39,False,,3,1,3,7,Needs Attention,0,Dormant Low-Value
12421,4,639.04,478,31,Spain,15,319,159.76,True,100.33333333333333,4,4,3,11,Champions,3,Active Mid-Value
12422,3,683.5600000000001,367,38,Australia,95,324,227.85333333333335,True,114.0,2,3,3,8,Hibernating,1,Lapsing Mid-Value
12423,8,1634.31,1324,96,Belgium,0,353,204.28875,True,49.857142857142854,5,5,4,14,Champions,2,High-Value Loyal
12424,2,1760.96,740,30,Australia,162,162,880.48,True,0.0,2,2,4,8,Lost,1,Lapsing Mid-Value
12425,1,777.2,496,36,Portugal,78,78,777.2,False,,2,1,3,6,Lost,0,Dormant Low-Value
12426,1,510.73,254,29,Germany,194,194,510.73,False,,1,1,3,5,Lost,0,Dormant Low-Value
12427,3,699.8000000000001,526,25,Germany,21,371,233.26666666666668,True,174.5,4,3,3,10,Loyal,3,Active Mid-Value
12428,8,6405.26,3509,256,Finland,25,283,800.6575,True,36.57142857142857,4,5,5,14,Champions,2,High-Value Loyal
12429,4,3388.4,1538,81,Denmark,9,365,847.1,True,118.33333333333333,5,4,5,14,Champions,2,High-Value Loyal
12430,1,216.4,116,10,Norway,43,43,216.4,False,,3,1,1,5,Needs Attention,0,Dormant Low-Value
12431,15,6314.95,2889,162,Australia,35,373,420.99666666666667,True,23.714285714285715,3,5,5,13,Loyal,2,High-Value Loyal
12432,4,4359.32,1800,106,Norway,42,172,1089.83,True,43.0,3,4,5,12,Loyal,1,Lapsing Mid-Value
12433,7,13375.87,11071,219,Norway,0,373,1910.8385714285716,True,61.666666666666664,5,5,5,15,Champions,2,High-Value Loyal
12434,2,806.14,394,46,Australia,84,260,403.07,True,175.0,2,2,3,7,Lost,1,Lapsing Mid-Value
12435,2,7829.89,2055,31,Denmark,79,267,3914.945,True,188.0,2,2,5,9,Lost,1,Lapsing Mid-Value
12436,1,429.01,209,15,Norway,99,99,429.01,False,,2,1,2,5,Lost,0,Dormant Low-Value
12437,18,4447.41,2894,117,France,1,331,247.07833333333332,True,18.941176470588236,5,5,5,15,Champions,2,High-Value Loyal
12438,2,2466.85,1169,83,Norway,14,140,1233.425,True,125.0,5,2,5,12,New / Promising,1,Lapsing Mid-Value
12441,1,155.55,120,10,France,366,366,155.55,False,,1,1,1,3,Lost,0,Dormant Low-Value
12442,1,144.06,181,11,Spain,3,3,144.06,False,,5,1,1,7,New / Promising,3,Active Mid-Value
12444,5,4085.46,1130,137,Norway,21,171,817.092,True,37.25,4,4,5,13,Champions,1,Lapsing Mid-Value
12445,1,77.4,60,3,Spain,22,22,77.4,False,,4,1,1,6,New / Promising,3,Active Mid-Value
12446,1,1002.3100000000001,351,57,RSA,57,57,1002.3100000000001,False,,3,1,4,8,Needs Attention,0,Dormant Low-Value
12447,1,431.49,187,25,Belgium,243,243,431.49,False,,1,1,2,4,Lost,0,Dormant Low-Value
12448,1,365.45,240,21,Spain,44,44,365.45,False,,3,1,2,6,Needs Attention,0,Dormant Low-Value
12449,4,3596.29,1523,117,Belgium,22,187,899.0725,True,54.333333333333336,4,4,5,13,Champions,1,Lapsing Mid-Value
12450,2,197.88,128,7,Spain,156,173,98.94,True,17.0,2,2,1,5,Lost,0,Dormant Low-Value
12451,5,8995.52,6574,264,Switzerland,10,324,1799.104,True,77.75,5,4,5,14,Champions,2,High-Value Loyal
12452,1,348.57,181,20,Switzerland,16,16,348.57,False,,4,1,2,7,New / Promising,3,Active Mid-Value
12453,1,707.09,473,43,Austria,134,134,707.09,False,,2,1,3,6,Lost,0,Dormant Low-Value
12454,1,3528.34,1006,15,Spain,56,56,3528.34,False,,3,1,5,9,Needs Attention,1,Lapsing Mid-Value
12455,5,2339.86,2084,84,Spain,73,296,467.97200000000004,True,55.5,2,4,5,11,At Risk,1,Lapsing Mid-Value
12456,3,2581.04,1618,104,Switzerland,44,254,860.3466666666667,True,104.5,3,3,5,11,Loyal,1,Lapsing Mid-Value
12457,6,2043.23,835,52,Switzerland,66,239,340.53833333333336,True,34.0,3,5,5,13,Loyal,1,Lapsing Mid-Value
12458,2,787.4,502,34,Switzerland,71,284,393.7,True,213.0,3,2,3,8,Needs Attention,1,Lapsing Mid-Value
12461,1,626.88,282,34,Switzerland,154,154,626.88,False,,2,1,3,6,Lost,0,Dormant Low-Value
12462,2,937.59,527,50,Spain,18,303,468.795,True,284.0,4,2,4,10,New / Promising,3,Active Mid-Value
12463,4,1200.78,768,64,Belgium,53,241,300.195,True,62.0,3,4,4,11,Loyal,1,Lapsing Mid-Value
12464,8,957.05,95,5,Belgium,10,309,119.63125,True,42.285714285714285,5,5,4,14,Champions,2,High-Value Loyal
12465,2,682.19,475,45,Belgium,17,169,341.095,True,152.0,4,2,3,9,New / Promising,3,Active Mid-Value
12468,2,657.5400000000001,362,35,Germany,187,316,328.77000000000004,True,128.0,1,2,3,6,Lost,0,Dormant Low-Value
12471,27,17388.65,8092,148,Germany,2,364,644.0240740740742,True,13.576923076923077,5,5,5,15,Champions,2,High-Value Loyal
12472,7,6068.11,4120,218,Germany,32,369,866.8728571428571,True,55.666666666666664,4,5,5,14,Champions,2,High-Value Loyal
12473,3,2585.73,2394,138,Germany,53,191,861.91,True,68.5,3,3,5,11,Loyal,1,Lapsing Mid-Value
12474,18,6694.09,4798,252,Germany,17,329,371.8938888888889,True,17.823529411764707,4,5,5,14,Champions,2,High-Value Loyal
12475,1,669.38,532,35,Germany,53,53,669.38,False,,3,1,3,7,Needs Attention,0,Dormant Low-Value
12476,11,5898.42,2357,176,Germany,15,361,536.22,True,34.1,4,5,5,14,Champions,2,High-Value Loyal
12477,6,13219.74,3653,191,Germany,22,301,2203.29,True,55.4,4,5,5,14,Champions,2,High-Value Loyal
12478,1,545.99,233,35,Greece,3,3,545.99,False,,5,1,3,9,New / Promising,3,Active Mid-Value
12479,1,473.2,382,30,Germany,11,11,473.2,False,,5,1,2,8,New / Promising,3,Active Mid-Value
12480,4,2885.63,1685,128,Germany,28,336,721.4075,True,102.33333333333333,4,4,5,13,Champions,1,Lapsing Mid-Value
12481,10,5003.82,3262,149,Germany,22,365,500.38199999999995,True,37.666666666666664,4,5,5,14,Champions,2,High-Value Loyal
12483,8,1910.98,1094,45,Sweden,17,339,238.8725,True,45.285714285714285,4,5,4,13,Champions,2,High-Value Loyal
12484,4,3939.32,2166,255,Spain,35,336,984.83,True,100.0,3,4,5,12,Loyal,1,Lapsing Mid-Value
12488,3,1244.66,526,45,France,9,75,414.8866666666667,True,32.5,5,3,4,12,Loyal,3,Active Mid-Value
12489,1,298.93,103,14,France,336,336,298.93,False,,1,1,2,4,Lost,0,Dormant Low-Value
12490,10,4859.93,3033,130,France,5,329,485.99300000000005,True,35.666666666666664,5,5,5,15,Champions,2,High-Value Loyal
12491,1,424.40000000000003,258,24,France,38,38,424.40000000000003,False,,3,1,2,6,Needs Attention,3,Active Mid-Value
12492,2,227.21,190,18,Germany,63,105,113.605,True,42.0,3,2,1,6,Needs Attention,0,Dormant Low-Value
12493,2,379.74,204,18,France,165,197,189.87,True,31.0,2,2,2,6,Lost,0,Dormant Low-Value
12494,7,1084.1,698,62,France,15,365,154.87142857142857,True,57.666666666666664,4,5,4,13,Champions,1,Lapsing Mid-Value
12497,1,953.1,1231,13,Germany,81,81,953.1,False,,2,1,4,7,Lost,0,Dormant Low-Value
12498,3,349.70000000000005,156,20,Germany,21,57,116.56666666666668,True,18.0,4,3,2,9,Loyal,3,Active Mid-Value
12500,11,4059.8199999999997,2667,33,Germany,23,333,369.07454545454544,True,30.7,4,5,5,14,Champions,2,High-Value Loyal
12501,1,2025.39,1775,148,Germany,336,336,2025.39,False,,1,1,5,7,Lost,0,Dormant Low-Value
12502,5,2995.87,794,101,Spain,95,309,599.174,True,53.25,2,4,5,11,At Risk,1,Lapsing Mid-Value
12504,2,428.04999999999995,87,5,Germany,18,30,214.02499999999998,True,12.0,4,2,2,8,New / Promising,3,Active Mid-Value
12506,1,73.5,23,23,France,232,232,73.5,False,,1,1,1,3,Lost,0,Dormant Low-Value
12507,3,1052.81,885,18,Spain,134,298,350.93666666666667,True,82.0,2,3,4,9,Hibernating,1,Lapsing Mid-Value
12508,2,397.88,271,57,France,26,29,198.94,True,2.0,4,2,2,8,New / Promising,3,Active Mid-Value
12509,1,158.5,54,6,France,284,284,158.5,False,,1,1,1,3,Lost,0,Dormant Low-Value
12510,2,814.5699999999999,347,28,Spain,142,325,407.28499999999997,True,182.0,2,2,3,7,Lost,0,Dormant Low-Value
12512,2,132.18,96,31,Israel,66,66,66.09,True,0.0,3,2,1,6,Needs Attention,0,Dormant Low-Value
12513,1,558.29,459,34,France,112,112,558.29,False,,2,1,3,6,Lost,0,Dormant Low-Value
12514,1,1017.6800000000001,440,51,Italy,267,267,1017.6800000000001,False,,1,1,4,6,Lost,0,Dormant Low-Value
12515,1,278.7,128,15,Italy,353,353,278.7,False,,1,1,2,4,Lost,0,Dormant Low-Value
12516,2,1186.06,868,19,Germany,77,180,593.03,True,102.0,2,2,4,8,Lost,1,Lapsing Mid-Value
12517,4,2301.6,1351,231,Germany,28,190,575.4,True,53.333333333333336,4,4,5,13,Champions,1,Lapsing Mid-Value
12518,5,1840.89,1306,83,Germany,0,110,368.178,True,27.0,5,4,4,13,Champions,2,High-Value Loyal
12519,1,276.84000000000003,172,16,Germany,63,63,276.84000000000003,False,,3,1,2,6,Needs Attention,0,Dormant Low-Value
12520,5,2346.26,1423,120,Germany,79,273,469.25200000000007,True,48.25,2,4,5,11,At Risk,1,Lapsing Mid-Value
12521,1,545.68,306,37,Germany,142,142,545.68,False,,2,1,3,6,Lost,0,Dormant Low-Value
12522,2,156.72,192,10,Germany,39,51,78.36,True,12.0,3,2,1,6,Needs Attention,0,Dormant Low-Value
12523,11,1699.77,860,83,France,19,331,154.52454545454546,True,30.8,4,5,4,13,Champions,2,High-Value Loyal
12524,8,3945.7200000000003,3669,112,Germany,9,333,493.21500000000003,True,45.857142857142854,5,5,5,15,Champions,2,High-Value Loyal
12526,3,1172.66,624,63,Germany,0,94,390.8866666666667,True,46.5,5,3,4,12,Loyal,3,Active Mid-Value
12527,3,330.71000000000004,233,17,Germany,81,325,110.23666666666668,True,121.5,2,3,2,7,Hibernating,0,Dormant Low-Value
12528,6,1645.48,740,49,Germany,9,312,274.24666666666667,True,60.4,5,5,4,14,Champions,2,High-Value Loyal
12530,4,1500.28,904,50,Germany,59,336,375.07,True,92.0,3,4,4,11,Loyal,1,Lapsing Mid-Value
12531,1,125.22,45,17,Germany,14,14,125.22,False,,5,1,1,7,New / Promising,3,Active Mid-Value
12532,1,313.83000000000004,151,15,France,30,30,313.83000000000004,False,,4,1,2,7,New / Promising,3,Active Mid-Value
12534,1,981.18,645,62,Germany,130,130,981.18,False,,2,1,4,7,Lost,0,Dormant Low-Value
12535,2,716.35,219,28,France,91,186,358.175,True,94.0,2,2,3,7,Lost,0,Dormant Low-Value
12536,1,4279.71,2801,259,France,59,59,4279.71,False,,3,1,5,9,Needs Attention,1,Lapsing Mid-Value
12538,1,363.95,191,21,Spain,29,29,363.95,False,,4,1,2,7,New / Promising,3,Active Mid-Value
12539,4,5568.35,2067,157,Spain,22,333,1392.0875,True,103.33333333333333,4,4,5,13,Champions,1,Lapsing Mid-Value
12540,17,11580.24,6620,276,Spain,19,361,681.1905882352941,True,20.875,4,5,5,14,Champions,2,High-Value Loyal
12541,3,841.18,675,45,Spain,29,280,280.3933333333333,True,125.0,4,3,3,10,Loyal,1,Lapsing Mid-Value
12544,1,316.7,134,18,Spain,36,36,316.7,False,,3,1,2,6,Needs Attention,3,Active Mid-Value
12545,2,832.39,517,41,Spain,75,259,416.195,True,184.0,2,2,3,7,Lost,1,Lapsing Mid-Value
12546,2,1021.5,628,58,Spain,46,77,510.75,True,31.0,3,2,4,9,Needs Attention,1,Lapsing Mid-Value
12547,2,151.8,132,6,Spain,197,280,75.9,True,82.0,1,2,1,4,Lost,0,Dormant Low-Value
12548,1,67.19999999999999,48,4,Spain,166,166,67.19999999999999,False,,2,1,1,4,Lost,0,Dormant Low-Value
12550,1,824.83,564,56,Spain,79,79,824.83,False,,2,1,3,6,Lost,0,Dormant Low-Value
12551,1,168.0,100,10,Spain,357,357,168.0,False,,1,1,1,3,Lost,0,Dormant Low-Value
12552,1,317.82,85,19,Italy,39,39,317.82,False,,3,1,2,6,Needs Attention,0,Dormant Low-Value
12553,10,3278.28,1942,94,France,8,329,327.82800000000003,True,35.22222222222222,5,5,5,15,Champions,2,High-Value Loyal
12556,2,599.56,355,100,Spain,50,151,299.78,True,100.0,3,2,3,8,Needs Attention,1,Lapsing Mid-Value
12557,5,11990.960000000001,4384,15,Spain,16,371,2398.192,True,88.25,4,4,5,13,Champions,2,High-Value Loyal
12558,1,269.96,196,11,USA,7,7,269.96,False,,5,1,2,8,New / Promising,3,Active Mid-Value
12559,2,525.71,281,20,Germany,310,319,262.855,True,8.0,1,2,3,6,Lost,0,Dormant Low-Value
12560,2,1918.01,1098,90,Germany,5,143,959.005,True,137.0,5,2,4,11,New / Promising,3,Active Mid-Value
12561,1,238.85,177,16,Germany,302,302,238.85,False,,1,1,1,3,Lost,0,Dormant Low-Value
12562,7,3385.7400000000002,1757,98,France,8,198,483.6771428571429,True,31.333333333333332,5,5,5,15,Champions,2,High-Value Loyal
12564,1,402.90000000000003,130,20,France,261,261,402.90000000000003,False,,1,1,2,4,Lost,0,Dormant Low-Value
12565,1,145.92000000000002,80,9,Saudi Arabia,288,288,145.92000000000002,False,,1,1,1,3,Lost,0,Dormant Low-Value
12566,1,297.65,262,18,Germany,86,86,297.65,False,,2,1,2,5,Lost,0,Dormant Low-Value
12567,10,8609.28,4261,322,France,22,369,860.9280000000001,True,38.111111111111114,4,5,5,14,Champions,2,High-Value Loyal
12569,32,3152.69,1747,91,Germany,2,252,98.5215625,True,7.645161290322581,5,5,5,15,Champions,2,High-Value Loyal
12571,2,519.61,523,31,France,39,121,259.805,True,81.0,3,2,3,8,Needs Attention,3,Active Mid-Value
12572,2,912.4200000000001,446,52,Germany,8,51,456.21000000000004,True,43.0,5,2,3,10,New / Promising,3,Active Mid-Value
12573,1,160.54000000000002,84,26,France,227,227,160.54000000000002,False,,1,1,1,3,Lost,0,Dormant Low-Value
12574,1,182.45000000000002,59,10,France,315,315,182.45000000000002,False,,1,1,1,3,Lost,0,Dormant Low-Value
12576,5,1315.83,967,72,Poland,35,304,263.166,True,67.0,3,4,4,11,Loyal,1,Lapsing Mid-Value
12577,3,622.65,468,136,France,35,359,207.54999999999998,True,161.5,3,3,3,9,Loyal,1,Lapsing Mid-Value
12578,2,2402.51,1182,110,Italy,21,330,1201.255,True,308.0,4,2,5,11,New / Promising,1,Lapsing Mid-Value
12579,1,386.42,282,28,France,78,78,386.42,False,,2,1,2,5,Lost,0,Dormant Low-Value
12580,1,379.7,236,23,Germany,246,246,379.7,False,,1,1,2,4,Lost,0,Dormant Low-Value
12581,1,179.71,160,14,Germany,39,39,179.71,False,,3,1,1,5,Needs Attention,0,Dormant Low-Value
12582,2,351.36,296,20,Finland,238,288,175.68,True,49.0,1,2,2,5,Lost,0,Dormant Low-Value
12583,15,6705.38,5028,114,France,2,373,447.0253333333333,True,26.0,5,5,5,15,Champions,2,High-Value Loyal
12584,9,2254.15,413,43,Italy,3,280,250.4611111111111,True,34.0,5,5,5,15,Champions,2,High-Value Loyal
12585,2,1824.1,1267,76,Germany,234,351,912.05,True,117.0,1,2,4,7,Lost,1,Lapsing Mid-Value
12586,1,196.94000000000003,79,11,Italy,17,17,196.94000000000003,False,,4,1,1,6,New / Promising,3,Active Mid-Value
12587,1,104.0,50,3,Finland,7,7,104.0,False,,5,1,1,7,New / Promising,3,Active Mid-Value
12588,1,174.89999999999998,52,9,Finland,39,39,174.89999999999998,False,,3,1,1,5,Needs Attention,0,Dormant Low-Value
12589,2,574.68,302,28,France,28,144,287.34,True,115.0,4,2,3,9,New / Promising,3,Active Mid-Value
12590,1,9341.26,4282,67,Germany,211,211,9341.26,False,,1,1,5,7,Lost,1,Lapsing Mid-Value
12591,1,368.85,225,25,Italy,317,317,368.85,False,,1,1,2,4,Lost,0,Dormant Low-Value
12592,2,401.6,288,10,Germany,92,213,200.8,True,121.0,2,2,2,6,Lost,0,Dormant Low-Value
12593,3,382.1,204,13,France,108,218,127.36666666666667,True,55.0,2,3,2,7,Hibernating,0,Dormant Low-Value
12594,9,3208.2200000000003,1772,49,Italy,37,322,356.4688888888889,True,35.125,3,5,5,13,Loyal,2,High-Value Loyal
12596,2,450.27,468,24,Spain,51,242,225.135,True,190.0,3,2,2,7,Needs Attention,0,Dormant Low-Value
12597,4,3195.22,2214,183,Spain,19,268,798.805,True,82.66666666666667,4,4,5,13,Champions,1,Lapsing Mid-Value
12598,7,2807.08,1952,83,France,9,284,401.01142857142855,True,45.333333333333336,5,5,5,15,Champions,2,High-Value Loyal
12599,7,888.58,948,31,France,29,304,126.94000000000001,True,45.333333333333336,4,5,3,12,Champions,1,Lapsing Mid-Value
12600,10,2311.04,758,31,Germany,28,371,231.10399999999998,True,37.666666666666664,4,5,5,14,Champions,2,High-Value Loyal
12601,5,487.06,240,20,Germany,189,332,97.412,True,35.25,1,4,3,8,At Risk,1,Lapsing Mid-Value
12602,1,153.12,162,12,France,58,58,153.12,False,,3,1,1,5,Needs Attention,0,Dormant Low-Value
12603,1,613.1999999999999,56,1,Germany,21,21,613.1999999999999,False,,4,1,3,8,New / Promising,3,Active Mid-Value
12604,2,236.18,200,14,France,79,261,118.09,True,182.0,2,2,1,5,Lost,0,Dormant Low-Value
12607,1,1579.51,1228,101,USA,60,60,1579.51,False,,3,1,4,8,Needs Attention,1,Lapsing Mid-Value
12609,3,964.85,639,56,Germany,78,318,321.6166666666667,True,120.0,2,3,4,9,Hibernating,1,Lapsing Mid-Value
12610,4,1747.54,1039,84,Italy,22,126,436.885,True,34.0,4,4,4,12,Champions,1,Lapsing Mid-Value
12611,1,1193.32,846,65,Italy,52,52,1193.32,False,,3,1,4,8,Needs Attention,1,Lapsing Mid-Value
12612,1,668.04,260,18,Germany,74,74,668.04,False,,2,1,3,6,Lost,0,Dormant Low-Value
12613,4,3092.38,1630,123,Germany,57,262,773.095,True,68.0,3,4,5,12,Loyal,1,Lapsing Mid-Value
12614,1,315.6,76,20,Germany,277,277,315.6,False,,1,1,2,4,Lost,0,Dormant Low-Value
12615,4,2093.19,1365,81,France,2,168,523.2975,True,55.0,5,4,5,14,Champions,2,High-Value Loyal
12616,2,641.3,280,24,France,95,297,320.65,True,202.0,2,2,3,7,Lost,0,Dormant Low-Value
12617,1,352.98,210,39,France,29,29,352.98,False,,4,1,2,7,New / Promising,3,Active Mid-Value
12618,1,137.31,95,10,Italy,21,21,137.31,False,,4,1,1,6,New / Promising,3,Active Mid-Value
12619,8,2945.56,3360,48,Germany,16,253,368.195,True,33.57142857142857,4,5,5,14,Champions,2,High-Value Loyal
12620,3,1303.41,1179,88,France,14,204,434.47,True,94.5,5,3,4,12,Loyal,1,Lapsing Mid-Value
12621,20,12411.67,7369,260,Germany,1,365,620.5835,True,18.63157894736842,5,5,5,15,Champions,2,High-Value Loyal
12622,1,162.1,68,10,Germany,232,232,162.1,False,,1,1,1,3,Lost,0,Dormant Low-Value
12623,1,269.1,189,17,Germany,276,276,269.1,False,,1,1,2,4,Lost,0,Dormant Low-Value
12624,2,569.13,351,35,France,106,177,284.565,True,71.0,2,2,3,7,Lost,0,Dormant Low-Value
12625,2,2413.82,1597,72,Germany,211,319,1206.91,True,107.0,1,2,5,8,Lost,1,Lapsing Mid-Value
12626,9,5954.4800000000005,3416,231,Germany,23,326,661.6088888888889,True,37.5,4,5,5,14,Champions,2,High-Value Loyal
12627,6,4082.53,2730,161,Germany,10,140,680.4216666666667,True,25.4,5,5,5,15,Champions,2,High-Value Loyal
12628,3,732.46,445,33,Germany,4,64,244.15333333333334,True,29.5,5,3,3,11,Loyal,3,Active Mid-Value
12630,2,1030.88,542,59,Finland,9,43,515.44,True,34.0,5,2,4,11,New / Promising,3,Active Mid-Value
12631,1,480.5,232,30,Finland,57,57,480.5,False,,3,1,2,6,Needs Attention,0,Dormant Low-Value
12633,4,1929.98,1149,72,Germany,58,287,482.495,True,76.0,3,4,4,11,Loyal,1,Lapsing Mid-Value
12635,2,1509.18,1162,95,Germany,89,154,754.59,True,65.0,2,2,4,8,Lost,1,Lapsing Mid-Value
12637,8,5804.9,2983,204,France,67,323,725.6125,True,36.285714285714285,3,5,5,13,Loyal,1,Lapsing Mid-Value
